id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6.23917E+17,Summer Ski Lodge in the City,392756169,Andrew,,SIXTH WARD,42.65444917,-73.76541776,Entire home/apt,124,1,0,,,1,364,0,
6.25347E+17,Charming Garden Apartment in Center Square,12742779,Kathryn,,SIXTH WARD,42.65347,-73.7662,Entire home/apt,110,1,247,18/12/2024,7.86,1,18,77,
6.28163E+17,É??SPACIOUS 1BR Apt w/ Character 10ft Ceilings W/D!É??,47625981,Linda,,SECOND WARD,42.64528,-73.75861,Entire home/apt,110,1,52,28/10/2024,1.65,18,358,16,
6.28824E+17,Clean lines and accessible Convenient Location!,7164949,Jordan,,THIRD WARD,42.66169975,-73.76466828,Private room,68,2,0,,,1,88,0,
6.31035E+17,É??PRIVATE 1 BDRM Newly Renovated Apt W/D PatioÉ??,47625981,Linda,,SECOND WARD,42.64558,-73.75928,Entire home/apt,109,1,54,20/10/2024,1.7,18,348,14,
6.31779E+17,Lovely 3-bedroom apartment with indoor fireplace.,272907816,Angela,,SECOND WARD,42.645252,-73.753433,Entire home/apt,,2,17,10/06/2024,0.74,4,0,6,
6.34108E+17,Perfect for Families and Traveling Professionals,119340359,Lori,,SIXTH WARD,42.65323,-73.76797,Entire home/apt,216,30,101,28/07/2024,3.2,2,87,27,
6.4657E+17,Peaceful 2 bedroom condo in the heart of Albany,172658781,Jessica,,THIRTEENTH WARD,42.66897,-73.79653,Entire home/apt,95,24,1,24/08/2024,0.22,3,150,1,
6.49974E+17,Modern luxury studio with free off street parking,353498132,Michael,,SECOND WARD,42.64625,-73.75663,Entire home/apt,90,14,8,26/11/2024,0.28,6,276,3,
6.53434E+17,Lovely apartment in heart of Albany,1761578,Grant,,SIXTH WARD,42.65389,-73.76538,Entire home/apt,130,2,6,21/10/2024,0.27,3,3,5,
6.54303E+17,É?? Private 1 bdrm w/ backyard access É?? In-unit W/D,47625981,Linda,,FOURTH WARD,42.65752,-73.74743,Entire home/apt,115,1,51,01/12/2024,1.69,18,295,15,
6.58161E+17,Lovely artist 1 bedroom apartment close to LARK,30920241,Miri,,SIXTH WARD,42.65128,-73.7686,Entire home/apt,,30,1,28/06/2024,0.16,2,0,1,
6.58638E+17,CHEERFULL 3 BEDROOM HOME WITH FREE PARKING.,466389096,Patrice,,FIRST WARD,42.6374547,-73.7716647,Entire home/apt,159,5,5,22/09/2023,0.17,2,330,0,
6.62133E+17,Beautiful 4 bedroom house Large eat in kitchen,466389096,Patrice,,FIRST WARD,42.6378819,-73.7715269,Entire home/apt,139,7,2,12/08/2024,0.07,2,309,1,
6.67645E+17,Pied-a-terre albany,439560254,Sean,,SIXTH WARD,42.65541381,-73.76367521,Entire home/apt,118,2,93,26/12/2024,3.13,1,85,32,
6.68608E+17,The Rose Room at Historic Buel House,382970529,Thomas,,FOURTEENTH WARD,42.66758,-73.7992,Private room,96,1,125,28/12/2024,4.14,14,80,39,
6.68608E+17,The Silk and Sun Room at Historic Jesse Buel House,382970529,Thomas,,FOURTEENTH WARD,42.66764,-73.79908,Private room,96,1,101,11/11/2024,3.36,14,82,28,
6.77623E+17,**New Listing! Modern 2 bdrm Apt in Mansion Area!,203631769,Johnny,,SECOND WARD,42.64531,-73.75963,Entire home/apt,,2,28,29/09/2023,0.96,1,0,0,
6.81952E+17,Albany-2 bedrooms apt (1st fl) A&A-Sisters Rental,461579260,Md,,SECOND WARD,42.646896,-73.757612,Entire home/apt,140,1,3,31/03/2024,0.13,2,5,1,
6.87497E+17,Albany-3 bedrooms apt (2nd fl) A&A-Sisters Rental,461579260,Md,,SECOND WARD,42.64621,-73.75723,Entire home/apt,170,1,4,28/05/2023,0.15,2,16,0,
